[17:42:14][modifier.cpp:386]: [0] Tag: blank_modifier, Categories: 2
[17:42:14][modifier.cpp:386]: [63] Tag: ship_speed_reduction, Categories: 16508
[17:42:14][modifier.cpp:386]: [64] Tag: ship_landing_time_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [65] Tag: ship_orbit_upkeep_mult, Categories: 16496
[17:42:14][modifier.cpp:386]: [66] Tag: ship_sensor_range_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [67] Tag: ship_windup_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [68] Tag: ship_winddown_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [69] Tag: ship_interstellar_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [70] Tag: ship_emergency_ftl_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [71] Tag: ship_anomaly_fail_risk, Categories: 64
[17:42:14][modifier.cpp:386]: [72] Tag: ship_anomaly_research_speed_mult, Categories: 64
[17:42:14][modifier.cpp:386]: [73] Tag: ship_anomaly_generation_chance_mult, Categories: 64
[17:42:14][modifier.cpp:386]: [74] Tag: science_ship_survey_speed, Categories: 64
[17:42:14][modifier.cpp:386]: [75] Tag: ship_starting_experience_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [76] Tag: ship_experience_gain_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [77] Tag: army_disengage_chance_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [78] Tag: army_starting_experience_add, Categories: 512
[17:42:14][modifier.cpp:386]: [79] Tag: army_health, Categories: 512
[17:42:14][modifier.cpp:386]: [80] Tag: army_morale, Categories: 512
[17:42:14][modifier.cpp:386]: [81] Tag: army_damage_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [82] Tag: army_collateral_damage_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [83] Tag: army_morale_damage_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [84] Tag: army_defense_morale_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [85] Tag: army_defense_damage_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [86] Tag: army_attack_morale_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [87] Tag: army_attack_damage_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [88] Tag: army_attack_health_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [89] Tag: army_defense_health_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [90] Tag: army_experience_gain_mult, Categories: 512
[17:42:14][modifier.cpp:386]: [91] Tag: planet_non_artificial_max_districts_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [92] Tag: planet_max_districts_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [93] Tag: planet_max_districts_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [94] Tag: planet_max_buildings_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [95] Tag: planet_max_branch_office_buildings_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [96] Tag: planet_pop_assembly_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [97] Tag: planet_pop_assembly_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [98] Tag: planet_pop_assembly_reduction, Categories: 2048
[17:42:14][modifier.cpp:386]: [99] Tag: planet_amenities_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [100] Tag: planet_amenities_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [101] Tag: planet_amenities_no_happiness_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [102] Tag: planet_amenities_no_happiness_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [103] Tag: planet_stability_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [104] Tag: planet_crime_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [105] Tag: planet_crime_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [106] Tag: planet_crime_no_happiness_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [107] Tag: planet_crime_no_happiness_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [108] Tag: planet_housing_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [109] Tag: planet_housing_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [110] Tag: planet_sensor_range_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [111] Tag: planet_colony_development_speed_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [112] Tag: building_time_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [113] Tag: planet_building_refund_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [114] Tag: planet_building_build_speed_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [115] Tag: planet_decision_enact_speed_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [116] Tag: planet_clear_blocker_time_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [117] Tag: planet_migration_all_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [118] Tag: planet_immigration_pull_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [119] Tag: planet_immigration_pull_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [120] Tag: planet_emigration_push_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [121] Tag: planet_emigration_push_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [122] Tag: planet_army_build_speed_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [123] Tag: planet_army_build_time_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [124] Tag: country_pop_enslaved_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [125] Tag: country_border_friction_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [126] Tag: defensive_war_influence_gain_add, Categories: 256
[17:42:14][modifier.cpp:386]: [127] Tag: all_technology_research_speed, Categories: 256
[17:42:14][modifier.cpp:386]: [128] Tag: country_physics_tech_research_speed, Categories: 256
[17:42:14][modifier.cpp:386]: [129] Tag: country_society_tech_research_speed, Categories: 256
[17:42:14][modifier.cpp:386]: [130] Tag: country_engineering_tech_research_speed, Categories: 256
[17:42:14][modifier.cpp:386]: [131] Tag: num_tech_alternatives_add, Categories: 256
[17:42:14][modifier.cpp:386]: [132] Tag: edict_length_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [133] Tag: country_ship_upgrade_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [134] Tag: country_leader_pool_size, Categories: 256
[17:42:14][modifier.cpp:386]: [135] Tag: country_insult_efficiency, Categories: 256
[17:42:14][modifier.cpp:386]: [136] Tag: country_trade_attractiveness, Categories: 256
[17:42:14][modifier.cpp:386]: [137] Tag: colony_start_num_pops_add, Categories: 256
[17:42:14][modifier.cpp:386]: [138] Tag: country_resource_max_add, Categories: 256
[17:42:14][modifier.cpp:386]: [139] Tag: terraform_speed_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [140] Tag: country_election_influence_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [141] Tag: country_trust_growth, Categories: 256
[17:42:14][modifier.cpp:386]: [142] Tag: country_trust_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [143] Tag: country_synthetic_trust_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [144] Tag: country_organic_trust_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [145] Tag: country_subject_trust_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [146] Tag: country_subject_power_penalty_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [147] Tag: max_rivalries, Categories: 256
[17:42:14][modifier.cpp:386]: [148] Tag: max_embassies, Categories: 256
[17:42:14][modifier.cpp:386]: [149] Tag: ascension_perks_add, Categories: 256
[17:42:14][modifier.cpp:386]: [150] Tag: modify_species_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [151] Tag: country_subject_acceptance_add, Categories: 256
[17:42:14][modifier.cpp:386]: [152] Tag: subject_integration_influence_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [153] Tag: country_subject_integration_speed_add, Categories: 256
[17:42:14][modifier.cpp:386]: [154] Tag: country_integration_cooldown_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [155] Tag: country_vassal_naval_capacity_contribution_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [156] Tag: subject_tribute_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [157] Tag: country_subject_technology_sharing_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [158] Tag: species_leader_exp_gain, Categories: 1024
[17:42:14][modifier.cpp:386]: [159] Tag: ruler_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [160] Tag: leader_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [161] Tag: leader_age, Categories: 1024
[17:42:14][modifier.cpp:386]: [162] Tag: admiral_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [163] Tag: general_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [164] Tag: governor_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [165] Tag: scientist_skill_levels, Categories: 1024
[17:42:14][modifier.cpp:386]: [166] Tag: country_starbase_capacity_add, Categories: 256
[17:42:14][modifier.cpp:386]: [167] Tag: country_starbase_capacity_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [168] Tag: country_naval_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [169] Tag: country_naval_cap_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [170] Tag: terraforming_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [171] Tag: federation_naval_cap_contribution_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [172] Tag: country_command_limit_add, Categories: 256
[17:42:14][modifier.cpp:386]: [173] Tag: country_command_limit_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [174] Tag: planet_orbital_bombardment_damage, Categories: 2048
[17:42:14][modifier.cpp:386]: [175] Tag: country_resettlement_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [176] Tag: pop_resettlement_cost_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [177] Tag: pop_defense_armies_add, Categories: 2
[17:42:14][modifier.cpp:386]: [178] Tag: pop_demotion_time_mult, Categories: 2
[17:42:14][modifier.cpp:386]: [179] Tag: faction_approval, Categories: 8192
[17:42:14][modifier.cpp:386]: [180] Tag: country_starbase_influence_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [181] Tag: country_claim_influence_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [182] Tag: country_war_exhaustion_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [183] Tag: empire_size_penalty_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [184] Tag: empire_size_branch_office_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [185] Tag: tradition_cost_empire_size_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [186] Tag: tech_cost_empire_size_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [187] Tag: megastructure_build_speed_add, Categories: 65536
[17:42:14][modifier.cpp:386]: [188] Tag: megastructure_build_speed_mult, Categories: 65536
[17:42:14][modifier.cpp:386]: [189] Tag: country_government_civic_points_add, Categories: 256
[17:42:14][modifier.cpp:386]: [190] Tag: country_occupation_armies_add, Categories: 256
[17:42:14][modifier.cpp:386]: [191] Tag: starbase_shipyard_capacity_add, Categories: 262144
[17:42:14][modifier.cpp:386]: [192] Tag: starbase_shipyard_build_cost_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [193] Tag: starbase_shipyard_build_time_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [194] Tag: starbase_shipyard_build_speed_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [195] Tag: starbase_upgrade_cost_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [196] Tag: starbase_upgrade_time_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [197] Tag: starbase_upgrade_speed_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [198] Tag: starbase_defensive_war_ship_build_speed_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [199] Tag: starbase_building_capacity_add, Categories: 262144
[17:42:14][modifier.cpp:386]: [200] Tag: starbase_building_build_time_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [201] Tag: starbase_building_build_speed_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [202] Tag: starbase_module_capacity_add, Categories: 262144
[17:42:14][modifier.cpp:386]: [203] Tag: starbase_module_build_time_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [204] Tag: starbase_module_build_speed_mult, Categories: 262144
[17:42:14][modifier.cpp:386]: [205] Tag: starbase_defense_platform_capacity_add, Categories: 262144
[17:42:14][modifier.cpp:386]: [206] Tag: starbase_trade_collection_range_add, Categories: 2359296
[17:42:14][modifier.cpp:386]: [207] Tag: starbase_trade_protection_range_add, Categories: 2359296
[17:42:14][modifier.cpp:386]: [208] Tag: starbase_trade_protection_add, Categories: 2359296
[17:42:14][modifier.cpp:386]: [209] Tag: local_trade_protection_add, Categories: 2097408
[17:42:14][modifier.cpp:386]: [210] Tag: planet_hyperlane_range_add, Categories: 2048
[17:42:14][modifier.cpp:386]: [211] Tag: country_trade_fee, Categories: 256
[17:42:14][modifier.cpp:386]: [212] Tag: trade_value_add, Categories: 329728
[17:42:14][modifier.cpp:386]: [213] Tag: trade_value_mult, Categories: 329728
[17:42:14][modifier.cpp:386]: [214] Tag: piracy_growth_mult, Categories: 1048832
[17:42:14][modifier.cpp:386]: [215] Tag: piracy_suppression_mult, Categories: 1049984
[17:42:14][modifier.cpp:386]: [216] Tag: max_trade_piracy_add, Categories: 1048576
[17:42:14][modifier.cpp:386]: [217] Tag: max_trade_piracy_mult, Categories: 1048576
[17:42:14][modifier.cpp:386]: [218] Tag: country_admin_cap_add, Categories: 256
[17:42:14][modifier.cpp:386]: [219] Tag: branch_office_value_mult, Categories: 2048
[17:42:14][modifier.cpp:386]: [220] Tag: slave_market_cost_mult, Categories: 256
[17:42:14][modifier.cpp:386]: [221] Tag: shipclass_military_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [222] Tag: shipclass_military_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [223] Tag: shipclass_military_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [224] Tag: shipclass_military_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [225] Tag: shipclass_military_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [226] Tag: shipclass_military_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [227] Tag: shipclass_constructor_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [228] Tag: shipclass_constructor_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [229] Tag: shipclass_constructor_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [230] Tag: shipclass_constructor_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [231] Tag: shipclass_constructor_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [232] Tag: shipclass_constructor_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [233] Tag: shipclass_colonizer_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [234] Tag: shipclass_colonizer_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [235] Tag: shipclass_colonizer_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [236] Tag: shipclass_colonizer_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [237] Tag: shipclass_colonizer_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [238] Tag: shipclass_colonizer_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [239] Tag: shipclass_science_ship_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [240] Tag: shipclass_science_ship_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [241] Tag: shipclass_science_ship_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [242] Tag: shipclass_science_ship_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [243] Tag: shipclass_science_ship_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [244] Tag: shipclass_science_ship_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [245] Tag: shipclass_transport_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [246] Tag: shipclass_transport_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [247] Tag: shipclass_transport_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [248] Tag: shipclass_transport_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [249] Tag: shipclass_transport_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [250] Tag: shipclass_transport_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [251] Tag: shipclass_mining_station_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [252] Tag: shipclass_mining_station_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [253] Tag: shipclass_mining_station_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [254] Tag: shipclass_mining_station_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [255] Tag: shipclass_mining_station_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [256] Tag: shipclass_mining_station_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [257] Tag: shipclass_research_station_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [258] Tag: shipclass_research_station_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [259] Tag: shipclass_research_station_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [260] Tag: shipclass_research_station_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [261] Tag: shipclass_research_station_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [262] Tag: shipclass_research_station_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [263] Tag: shipclass_military_station_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [264] Tag: shipclass_military_station_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [265] Tag: shipclass_military_station_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [266] Tag: shipclass_military_station_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [267] Tag: shipclass_military_station_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [268] Tag: shipclass_military_station_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [269] Tag: shipclass_observation_station_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [270] Tag: shipclass_observation_station_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [271] Tag: shipclass_observation_station_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [272] Tag: shipclass_observation_station_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [273] Tag: shipclass_observation_station_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [274] Tag: shipclass_observation_station_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [275] Tag: shipclass_starbase_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [276] Tag: shipclass_starbase_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [277] Tag: shipclass_starbase_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [278] Tag: shipclass_starbase_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [279] Tag: shipclass_starbase_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [280] Tag: shipclass_starbase_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [281] Tag: shipclass_military_special_build_cost_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [282] Tag: shipclass_military_special_build_speed_mult, Categories: 264192
[17:42:14][modifier.cpp:386]: [283] Tag: shipclass_military_special_hull_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [284] Tag: shipclass_military_special_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [285] Tag: shipclass_military_special_evasion_add, Categories: 16508
[17:42:14][modifier.cpp:386]: [286] Tag: shipclass_military_special_disengage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [287] Tag: weapon_type_energy_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [288] Tag: weapon_type_energy_weapon_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [289] Tag: weapon_type_energy_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [290] Tag: weapon_type_kinetic_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [291] Tag: weapon_type_kinetic_weapon_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [292] Tag: weapon_type_kinetic_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [293] Tag: weapon_type_explosive_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [294] Tag: weapon_type_explosive_weapon_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [295] Tag: weapon_type_explosive_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [296] Tag: weapon_type_strike_craft_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [297] Tag: weapon_type_strike_craft_weapon_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [298] Tag: weapon_type_strike_craft_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [299] Tag: weapon_type_point_defense_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [300] Tag: weapon_type_point_defense_weapon_fire_rate_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [301] Tag: weapon_type_point_defense_speed_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [302] Tag: point_defence_weapon_damage_mult, Categories: 16508
[17:42:14][modifier.cpp:386]: [303] Tag: point_defence_weapon_fire_rate_mult, Categories: 16508
