#######################
##### DISRUPTORS ######
#######################

@ukn_disruptor_planck_m_dmg_min = 1

@ukn_disruptor_4_m_dmg_max = 69 
@ukn_disruptor_5_m_dmg_max = 90 
@ukn_disruptor_6_m_dmg_max = 121 
@ukn_disruptor_7_m_dmg_max = 170 
@ukn_disruptor_8_m_dmg_max = 247 
@ukn_disruptor_9_m_dmg_max = 536 
@ukn_disruptor_10_m_dmg_max = 831 
@ukn_disruptor_planck_m_dmg_max = 358 
#---

@ukn_disruptor_4_m_windup_min = 2
@ukn_disruptor_5_m_windup_min = 2
@ukn_disruptor_6_m_windup_min = 2
@ukn_disruptor_7_m_windup_min = 2
@ukn_disruptor_8_m_windup_min = 2
@ukn_disruptor_9_m_windup_min = 2
@ukn_disruptor_10_m_windup_min = 2
@ukn_disruptor_planck_m_windup_min = 2

@ukn_disruptor_4_m_windup_max = 20
@ukn_disruptor_5_m_windup_max = 20
@ukn_disruptor_6_m_windup_max = 20
@ukn_disruptor_7_m_windup_max = 20
@ukn_disruptor_8_m_windup_max = 20
@ukn_disruptor_9_m_windup_max = 20
@ukn_disruptor_10_m_windup_max = 20
@ukn_disruptor_planck_m_windup_max = 20
#---

@ukn_disruptor_4_m_total_fire_time = 50
@ukn_disruptor_5_m_total_fire_time = 50
@ukn_disruptor_6_m_total_fire_time = 50
@ukn_disruptor_7_m_total_fire_time = 50
@ukn_disruptor_8_m_total_fire_time = 50
@ukn_disruptor_9_m_total_fire_time = 50
@ukn_disruptor_10_m_total_fire_time = 50
@ukn_disruptor_planck_m_total_fire_time = 50
#---

@ukn_disruptor_4_m_range = 60
@ukn_disruptor_5_m_range = 60
@ukn_disruptor_6_m_range = 65
@ukn_disruptor_7_m_range = 65
@ukn_disruptor_8_m_range = 65
@ukn_disruptor_9_m_range = 80
@ukn_disruptor_10_m_range = 80
@ukn_disruptor_planck_m_range = 65
#---

@ukn_disruptor_4_m_tracking = 0.35
@ukn_disruptor_5_m_tracking = 0.35
@ukn_disruptor_6_m_tracking = 0.40
@ukn_disruptor_7_m_tracking = 0.40
@ukn_disruptor_8_m_tracking = 0.40
@ukn_disruptor_9_m_tracking = 0.45
@ukn_disruptor_10_m_tracking = 0.45
@ukn_disruptor_planck_m_tracking = 0.40


###################
# MACRODISRUPTORS #
###################

@ukn_macro_disruptor_4_armor_damage_mult = 1.00
@ukn_macro_disruptor_5_armor_damage_mult = 1.00
@ukn_macro_disruptor_6_armor_damage_mult = 1.00
@ukn_macro_disruptor_7_armor_damage_mult = 1.00
@ukn_macro_disruptor_8_armor_damage_mult = 1.00
@ukn_macro_disruptor_9_armor_damage_mult = 1.00
@ukn_macro_disruptor_10_armor_damage_mult = 1.00
@ukn_macro_disruptor_planck_armor_damage_mult = 1.00

@ukn_macro_disruptor_4_armor_penetration_mult = 1.00
@ukn_macro_disruptor_5_armor_penetration_mult = 1.00
@ukn_macro_disruptor_6_armor_penetration_mult = 1.00
@ukn_macro_disruptor_7_armor_penetration_mult = 1.00
@ukn_macro_disruptor_8_armor_penetration_mult = 1.00
@ukn_macro_disruptor_9_armor_penetration_mult = 1.00
@ukn_macro_disruptor_10_armor_penetration_mult = 1.00
@ukn_macro_disruptor_planck_armor_penetration_mult = 1.00

@ukn_macro_disruptor_4_shield_penetration_mult = 1.00
@ukn_macro_disruptor_5_shield_penetration_mult = 1.00
@ukn_macro_disruptor_6_shield_penetration_mult = 1.00
@ukn_macro_disruptor_7_shield_penetration_mult = 1.00
@ukn_macro_disruptor_8_shield_penetration_mult = 1.00
@ukn_macro_disruptor_9_shield_penetration_mult = 1.00
@ukn_macro_disruptor_10_shield_penetration_mult = 1.00
@ukn_macro_disruptor_planck_shield_penetration_mult = 1.00

@ukn_macro_disruptor_4_hull_damage_mult = 1.00
@ukn_macro_disruptor_5_hull_damage_mult = 1.00
@ukn_macro_disruptor_6_hull_damage_mult = 1.10
@ukn_macro_disruptor_7_hull_damage_mult = 1.10
@ukn_macro_disruptor_8_hull_damage_mult = 1.10
@ukn_macro_disruptor_9_hull_damage_mult = 1.25
@ukn_macro_disruptor_10_hull_damage_mult = 1.25
@ukn_macro_disruptor_planck_hull_damage_mult = 1.10

@ukn_macro_disruptor_4_shield_damage_mult = 1.00
@ukn_macro_disruptor_5_shield_damage_mult = 1.00
@ukn_macro_disruptor_6_shield_damage_mult = 1.00
@ukn_macro_disruptor_7_shield_damage_mult = 1.00
@ukn_macro_disruptor_8_shield_damage_mult = 1.00
@ukn_macro_disruptor_9_shield_damage_mult = 1.00
@ukn_macro_disruptor_10_shield_damage_mult = 1.00
@ukn_macro_disruptor_planck_shield_damage_mult = 1.00
#---

@ukn_macro_disruptor_4_accuracy = 1.00
@ukn_macro_disruptor_5_accuracy = 1.00
@ukn_macro_disruptor_6_accuracy = 1.00
@ukn_macro_disruptor_7_accuracy = 1.00
@ukn_macro_disruptor_8_accuracy = 1.00
@ukn_macro_disruptor_9_accuracy = 1.00
@ukn_macro_disruptor_10_accuracy = 1.00
@ukn_macro_disruptor_planck_accuracy = 1.00


# LARGE #---------------------------

@ukn_macro_disruptor_4_power = -69 
@ukn_macro_disruptor_5_power = -90 
@ukn_macro_disruptor_6_power = -121 
@ukn_macro_disruptor_7_power = -170 
@ukn_macro_disruptor_8_power = -247 
@ukn_macro_disruptor_9_power = -536 
@ukn_macro_disruptor_10_power = -831 
@ukn_macro_disruptor_planck_power = -358 
#---

@ukn_macro_disruptor_4_dmg_min = 1
@ukn_macro_disruptor_5_dmg_min = 1
@ukn_macro_disruptor_6_dmg_min = 1
@ukn_macro_disruptor_7_dmg_min = 1
@ukn_macro_disruptor_8_dmg_min = 1
@ukn_macro_disruptor_9_dmg_min = 1
@ukn_macro_disruptor_10_dmg_min = 1
@ukn_macro_disruptor_planck_dmg_min = 1

@ukn_macro_disruptor_4_dmg_max = 166 
@ukn_macro_disruptor_5_dmg_max = 216 
@ukn_macro_disruptor_6_dmg_max = 291 
@ukn_macro_disruptor_7_dmg_max = 408 
@ukn_macro_disruptor_8_dmg_max = 592 
@ukn_macro_disruptor_9_dmg_max = 1287 
@ukn_macro_disruptor_10_dmg_max = 1995 
@ukn_macro_disruptor_planck_dmg_max = 858 
#---

@ukn_macro_disruptor_4_windup_min = 2
@ukn_macro_disruptor_5_windup_min = 2
@ukn_macro_disruptor_6_windup_min = 2
@ukn_macro_disruptor_7_windup_min = 2
@ukn_macro_disruptor_8_windup_min = 2
@ukn_macro_disruptor_9_windup_min = 2
@ukn_macro_disruptor_10_windup_min = 2
@ukn_macro_disruptor_planck_windup_min = 2

@ukn_macro_disruptor_4_windup_max = 20
@ukn_macro_disruptor_5_windup_max = 20
@ukn_macro_disruptor_6_windup_max = 20
@ukn_macro_disruptor_7_windup_max = 20
@ukn_macro_disruptor_8_windup_max = 20
@ukn_macro_disruptor_9_windup_max = 20
@ukn_macro_disruptor_10_windup_max = 20
@ukn_macro_disruptor_planck_windup_max = 20
#---

@ukn_macro_disruptor_4_total_fire_time = 50
@ukn_macro_disruptor_5_total_fire_time = 50
@ukn_macro_disruptor_6_total_fire_time = 50
@ukn_macro_disruptor_7_total_fire_time = 50
@ukn_macro_disruptor_8_total_fire_time = 50
@ukn_macro_disruptor_9_total_fire_time = 50
@ukn_macro_disruptor_10_total_fire_time = 50
@ukn_macro_disruptor_planck_total_fire_time = 50
#---

@ukn_macro_disruptor_4_range = 80
@ukn_macro_disruptor_5_range = 80
@ukn_macro_disruptor_6_range = 90
@ukn_macro_disruptor_7_range = 90
@ukn_macro_disruptor_8_range = 90
@ukn_macro_disruptor_9_range = 105
@ukn_macro_disruptor_10_range = 105
@ukn_macro_disruptor_planck_range = 90
#---

@ukn_macro_disruptor_4_tracking = 0.06
@ukn_macro_disruptor_5_tracking = 0.06
@ukn_macro_disruptor_6_tracking = 0.07
@ukn_macro_disruptor_7_tracking = 0.07
@ukn_macro_disruptor_8_tracking = 0.07
@ukn_macro_disruptor_9_tracking = 0.07
@ukn_macro_disruptor_10_tracking = 0.07
@ukn_macro_disruptor_planck_tracking = 0.07
