##################
### EXA-LANCES ###
##################

@ukn_exa_lance_planck_total_fire_time = 155
#---

@ukn_exa_lance_6_range = 265
@ukn_exa_lance_7_range = 265
@ukn_exa_lance_8_range = 265
@ukn_exa_lance_9_range = 315
@ukn_exa_lance_10_range = 315
@ukn_exa_lance_planck_range = 265
#---

@ukn_exa_lance_6_accuracy = 0.80
@ukn_exa_lance_7_accuracy = 0.80
@ukn_exa_lance_8_accuracy = 0.80
@ukn_exa_lance_9_accuracy = 0.80
@ukn_exa_lance_10_accuracy = 0.80
@ukn_exa_lance_planck_accuracy = 0.80



########################
### CULSTER MISSILES ###
########################
#---

@ukn_cluster_missile_7_hull_damage_mult = 1.35
@ukn_cluster_missile_8_hull_damage_mult = 1.35
@ukn_cluster_missile_9_hull_damage_mult = 1.55
@ukn_cluster_missile_10_hull_damage_mult = 1.55
@ukn_cluster_missile_planck_hull_damage_mult = 1.35

@ukn_cluster_missile_7_armor_penetration_mult = 0.00
@ukn_cluster_missile_8_armor_penetration_mult = 0.00
@ukn_cluster_missile_9_armor_penetration_mult = 0.00
@ukn_cluster_missile_10_armor_penetration_mult = 0.00
@ukn_cluster_missile_planck_armor_penetration_mult = 0.00

@ukn_cluster_missile_7_shield_penetration_mult = 1.00
@ukn_cluster_missile_8_shield_penetration_mult = 1.00
@ukn_cluster_missile_9_shield_penetration_mult = 1.00
@ukn_cluster_missile_10_shield_penetration_mult = 1.00
@ukn_cluster_missile_planck_shield_penetration_mult = 1.00

@ukn_cluster_missile_7_armor_damage_mult = 1.35
@ukn_cluster_missile_8_armor_damage_mult = 1.35
@ukn_cluster_missile_9_armor_damage_mult = 1.55
@ukn_cluster_missile_10_armor_damage_mult = 1.55
@ukn_cluster_missile_planck_armor_damage_mult = 1.35

@ukn_cluster_missile_7_shield_damage_mult = 1.00
@ukn_cluster_missile_8_shield_damage_mult = 1.00
@ukn_cluster_missile_9_shield_damage_mult = 1.00
@ukn_cluster_missile_10_shield_damage_mult = 1.00
@ukn_cluster_missile_planck_shield_damage_mult = 1.00
#---

@ukn_cluster_missile_7_tracking = 0.16
@ukn_cluster_missile_8_tracking = 0.16
@ukn_cluster_missile_9_tracking = 0.18
@ukn_cluster_missile_10_tracking = 0.18
@ukn_cluster_missile_planck_tracking = 0.16

# MISSILE STATS #-------------------

@ukn_cluster_missile_7_missile_speed = 17
@ukn_cluster_missile_8_missile_speed = 17
@ukn_cluster_missile_9_missile_speed = 17
@ukn_cluster_missile_10_missile_speed = 17
@ukn_cluster_missile_planck_missile_speed = 17

@ukn_cluster_missile_7_missile_evasion = 0.15
@ukn_cluster_missile_8_missile_evasion = 0.20
@ukn_cluster_missile_9_missile_evasion = 0.25
@ukn_cluster_missile_10_missile_evasion = 0.30
@ukn_cluster_missile_planck_missile_evasion = 0.20

@ukn_cluster_missile_7_missile_health = 136
@ukn_cluster_missile_8_missile_health = 197
@ukn_cluster_missile_9_missile_health = 429
@ukn_cluster_missile_10_missile_health = 665
@ukn_cluster_missile_planck_missile_health = 286

@ukn_cluster_missile_7_missile_retarget_range = 100
@ukn_cluster_missile_8_missile_retarget_range = 100
@ukn_cluster_missile_9_missile_retarget_range = 100
@ukn_cluster_missile_10_missile_retarget_range = 100
@ukn_cluster_missile_planck_missile_retarget_range = 100


# GENERAL STATS #---------------------------

@ukn_cluster_missile_7_firing_arc = 135.0
@ukn_cluster_missile_8_firing_arc = 135.0
@ukn_cluster_missile_9_firing_arc = 135.0
@ukn_cluster_missile_10_firing_arc = 135.0
@ukn_cluster_missile_planck_firing_arc = 135.0

@ukn_cluster_missile_7_min_range = 10
@ukn_cluster_missile_8_min_range = 10
@ukn_cluster_missile_9_min_range = 10
@ukn_cluster_missile_10_min_range = 10
@ukn_cluster_missile_planck_min_range = 10


# COLOSSAL (Only Slot) #---------------------------

@ukn_cluster_missile_7_power = -2834
@ukn_cluster_missile_8_power = -4109
@ukn_cluster_missile_9_power = -8937
@ukn_cluster_missile_10_power = -13852
@ukn_cluster_missile_planck_power = -5958
#---

@ukn_cluster_missile_7_dmg_min = 2657
@ukn_cluster_missile_8_dmg_min = 3852
@ukn_cluster_missile_9_dmg_min = 8379
@ukn_cluster_missile_10_dmg_min = 12987
@ukn_cluster_missile_planck_dmg_min = 5586

@ukn_cluster_missile_7_dmg_max = 3531
@ukn_cluster_missile_8_dmg_max = 5120
@ukn_cluster_missile_9_dmg_max = 11136
@ukn_cluster_missile_10_dmg_max = 17261
@ukn_cluster_missile_planck_dmg_max = 7424
#---

@ukn_cluster_missile_7_windup_min = 10
@ukn_cluster_missile_8_windup_min = 10
@ukn_cluster_missile_9_windup_min = 10
@ukn_cluster_missile_10_windup_min = 10
@ukn_cluster_missile_planck_windup_min = 10

@ukn_cluster_missile_7_windup_max = 20
@ukn_cluster_missile_8_windup_max = 20
@ukn_cluster_missile_9_windup_max = 20
@ukn_cluster_missile_10_windup_max = 20
@ukn_cluster_missile_planck_windup_max = 20
#---

@ukn_cluster_missile_7_total_fire_time = 20
@ukn_cluster_missile_8_total_fire_time = 20
@ukn_cluster_missile_9_total_fire_time = 20
@ukn_cluster_missile_10_total_fire_time = 20
@ukn_cluster_missile_planck_total_fire_time = 20
#---

@ukn_cluster_missile_7_range = 275
@ukn_cluster_missile_8_range = 275
@ukn_cluster_missile_9_range = 330
@ukn_cluster_missile_10_range = 330
@ukn_cluster_missile_planck_range = 275
#---

@ukn_cluster_missile_7_accuracy = 1.00
@ukn_cluster_missile_8_accuracy = 1.00
@ukn_cluster_missile_9_accuracy = 1.00
@ukn_cluster_missile_10_accuracy = 1.00
@ukn_cluster_missile_planck_accuracy = 1.00



###########################
### SHATTERBOLT CANNONS ###
###########################

@ukn_shatterbolt_cannon_7_hull_damage_mult = 1.10
@ukn_shatterbolt_cannon_8_hull_damage_mult = 1.10
@ukn_shatterbolt_cannon_9_hull_damage_mult = 1.25
@ukn_shatterbolt_cannon_10_hull_damage_mult = 1.25
@ukn_shatterbolt_cannon_planck_hull_damage_mult = 1.10

@ukn_shatterbolt_cannon_7_armor_penetration_mult = 0.00
@ukn_shatterbolt_cannon_8_armor_penetration_mult = 0.00
@ukn_shatterbolt_cannon_9_armor_penetration_mult = 0.00
@ukn_shatterbolt_cannon_10_armor_penetration_mult = 0.00
@ukn_shatterbolt_cannon_planck_armor_penetration_mult = 0.00

@ukn_shatterbolt_cannon_7_shield_penetration_mult = 0.00
@ukn_shatterbolt_cannon_8_shield_penetration_mult = 0.00
@ukn_shatterbolt_cannon_9_shield_penetration_mult = 0.00
@ukn_shatterbolt_cannon_10_shield_penetration_mult = 0.00
@ukn_shatterbolt_cannon_planck_shield_penetration_mult = 0.00

@ukn_shatterbolt_cannon_7_armor_damage_mult = 0.85
@ukn_shatterbolt_cannon_8_armor_damage_mult = 0.85
@ukn_shatterbolt_cannon_9_armor_damage_mult = 0.95
@ukn_shatterbolt_cannon_10_armor_damage_mult = 0.95
@ukn_shatterbolt_cannon_planck_armor_damage_mult = 0.85

@ukn_shatterbolt_cannon_7_shield_damage_mult = 1.65
@ukn_shatterbolt_cannon_8_shield_damage_mult = 1.65
@ukn_shatterbolt_cannon_9_shield_damage_mult = 1.90
@ukn_shatterbolt_cannon_10_shield_damage_mult = 1.90
@ukn_shatterbolt_cannon_planck_shield_damage_mult = 1.65
#---

@ukn_shatterbolt_cannon_7_tracking = 0.32
@ukn_shatterbolt_cannon_8_tracking = 0.32
@ukn_shatterbolt_cannon_9_tracking = 0.35
@ukn_shatterbolt_cannon_10_tracking = 0.35
@ukn_shatterbolt_cannon_planck_tracking = 0.32
#---

@ukn_shatterbolt_cannon_7_firing_arc = 180.0
@ukn_shatterbolt_cannon_8_firing_arc = 180.0
@ukn_shatterbolt_cannon_9_firing_arc = 180.0
@ukn_shatterbolt_cannon_10_firing_arc = 180.0
@ukn_shatterbolt_cannon_planck_firing_arc = 180.0

@ukn_shatterbolt_cannon_7_min_range = 5
@ukn_shatterbolt_cannon_8_min_range = 5
@ukn_shatterbolt_cannon_9_min_range = 5
@ukn_shatterbolt_cannon_10_min_range = 5
@ukn_shatterbolt_cannon_planck_min_range = 5


# COLOSSAL (Only Slot) #---------------------------

@ukn_shatterbolt_cannon_7_power = -2834
@ukn_shatterbolt_cannon_8_power = -4109
@ukn_shatterbolt_cannon_9_power = -8937
@ukn_shatterbolt_cannon_10_power = -13852
@ukn_shatterbolt_cannon_planck_power = -5958
#---

@ukn_shatterbolt_cannon_7_dmg_min = 12367
@ukn_shatterbolt_cannon_8_dmg_min = 17932
@ukn_shatterbolt_cannon_9_dmg_min = 39003
@ukn_shatterbolt_cannon_10_dmg_min = 60454
@ukn_shatterbolt_cannon_planck_dmg_min = 26002

@ukn_shatterbolt_cannon_7_dmg_max = 30915
@ukn_shatterbolt_cannon_8_dmg_max = 44826
@ukn_shatterbolt_cannon_9_dmg_max = 97497
@ukn_shatterbolt_cannon_10_dmg_max = 151121
@ukn_shatterbolt_cannon_planck_dmg_max = 64998
#---

@ukn_shatterbolt_cannon_7_windup_min = 10
@ukn_shatterbolt_cannon_8_windup_min = 10
@ukn_shatterbolt_cannon_9_windup_min = 10
@ukn_shatterbolt_cannon_10_windup_min = 10
@ukn_shatterbolt_cannon_planck_windup_min = 10

@ukn_shatterbolt_cannon_7_windup_max = 30
@ukn_shatterbolt_cannon_8_windup_max = 30
@ukn_shatterbolt_cannon_9_windup_max = 30
@ukn_shatterbolt_cannon_10_windup_max = 30
@ukn_shatterbolt_cannon_planck_windup_max = 30
#---

@ukn_shatterbolt_cannon_7_total_fire_time = 65
@ukn_shatterbolt_cannon_8_total_fire_time = 65
@ukn_shatterbolt_cannon_9_total_fire_time = 65
@ukn_shatterbolt_cannon_10_total_fire_time = 65
@ukn_shatterbolt_cannon_planck_total_fire_time = 65
#---

@ukn_shatterbolt_cannon_7_range = 80
@ukn_shatterbolt_cannon_8_range = 80
@ukn_shatterbolt_cannon_9_range = 95
@ukn_shatterbolt_cannon_10_range = 95
@ukn_shatterbolt_cannon_planck_range = 95
#---

@ukn_shatterbolt_cannon_7_accuracy = 0.85
@ukn_shatterbolt_cannon_8_accuracy = 0.85
@ukn_shatterbolt_cannon_9_accuracy = 0.85
@ukn_shatterbolt_cannon_10_accuracy = 0.85
@ukn_shatterbolt_cannon_planck_accuracy = 0.85
