####################
##### INSTANT ######
####################

@ukn_crisis_swarm_strike_craft_1_shield_damage_mult = 1.00
#---

@ukn_crisis_ai_strike_craft_1_accuracy = 1.00
@ukn_crisis_swarm_strike_craft_1_accuracy = 1.00

# STRIKE CRAFT STATS #-------------------

@ukn_crisis_ai_strike_craft_1_engagement_range = 100
@ukn_crisis_swarm_strike_craft_1_engagement_range = 100

@ukn_crisis_ai_strike_craft_1_count = 8
@ukn_crisis_swarm_strike_craft_1_count = 8

@ukn_crisis_ai_strike_craft_1_regen = 1
@ukn_crisis_swarm_strike_craft_1_regen = 1

@ukn_crisis_ai_strike_craft_1_launch_time = 1.50
@ukn_crisis_swarm_strike_craft_1_launch_time = 1.50
#---

@ukn_crisis_ai_strike_craft_1_health = 12
@ukn_crisis_swarm_strike_craft_1_health = 16

@ukn_crisis_ai_strike_craft_1_armor = 0
@ukn_crisis_swarm_strike_craft_1_armor = 0

@ukn_crisis_ai_strike_craft_1_shield = 8
@ukn_crisis_swarm_strike_craft_1_shield = 11
#---

@ukn_crisis_ai_strike_craft_1_evasion = 0.58
@ukn_crisis_swarm_strike_craft_1_evasion = 0.60

@ukn_crisis_ai_strike_craft_1_speed = 400
@ukn_crisis_swarm_strike_craft_1_speed = 450

@ukn_crisis_ai_strike_craft_1_rotation_speed = 0.8
@ukn_crisis_swarm_strike_craft_1_rotation_speed = 0.8

@ukn_crisis_ai_strike_craft_1_acceleration = 1.00
@ukn_crisis_swarm_strike_craft_1_acceleration = 1.00

# GENERAL STATS #---------------------------

@ukn_crisis_ai_strike_craft_1_power = -16
@ukn_crisis_swarm_strike_craft_1_power = -21
#---

@ukn_crisis_ai_strike_craft_1_dmg_min = 1
@ukn_crisis_swarm_strike_craft_1_dmg_min = 1

@ukn_crisis_ai_strike_craft_1_dmg_max = 2
@ukn_crisis_swarm_strike_craft_1_dmg_max = 3
#---

@ukn_crisis_ai_strike_craft_1_cooldown = 2.3
@ukn_crisis_swarm_strike_craft_1_cooldown = 2.3
#---

@ukn_crisis_ai_strike_craft_1_range = 10
@ukn_crisis_swarm_strike_craft_1_range = 10
#---

@ukn_crisis_ai_strike_craft_1_tracking = 0.55
@ukn_crisis_swarm_strike_craft_1_tracking = 0.60
